11,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,14899338422106154935954618156544858699,b'ecdsa-with-SHA256',b'20210812120000Z',b'20200812000000Z',ABSA Bank,https://www.bepassion.com/mtab/sumc.php,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
12,,,*.webador.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,188518757446218715777716850020544207668,b'sha256WithRSAEncryption',b'20210908235959Z',b'20200907000000Z',Other,https://orangs.webador.com/
13,,,geovanda.net,US,Let's Encrypt,Let's Encrypt Authority X3,2,391003774551316507877944783558928445431641,b'sha256WithRSAEncryption',b'20210209091134Z',b'20201111091134Z',Other,https://geovanda.net/
14,,,goindiaearn.com,US,"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,2,10140321947869275158,b'sha256WithRSAEncryption',b'20220218163435Z',b'20200218163435Z',Virustotal,https://goindiaearn.com/,"http://crl.godaddy.com/gdig2s1-1731.crl
"
15,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,18969104189366578605738760934394843808,b'ecdsa-with-SHA256',b'20210731120000Z',b'20200731000000Z',Virustotal,https://www.caglassassociation.org/servicios/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
16,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,17036382346616776300325643940442232023,b'ecdsa-with-SHA256',b'20210814120000Z',b'20200814000000Z',PayPal,http://smallfreetower2.theworkpc.com/cl/12428_md/1/976/232/35/7840,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
17,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,18294678468161393308913787670896859561,b'ecdsa-with-SHA256',b'20211120235959Z',b'20201121000000Z',Steam,https://eforceleague.com/lvlVv1s4jI/9h8i40qdkj/4odq6pjdta?q=lvlVv1s4jI&amp;s=c454d7249336ced6e2e1d97a8f8ae753,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
18,,,rakuten.co.jp.mdbgzy.shop,US,Let's Encrypt,Let's Encrypt Authority X3,2,309892240017617241042258821717403497697551,b'sha256WithRSAEncryption',b'20210219125123Z',b'20201121125123Z',Other,https://rakuten.co.jp.w6c6bap.top/
19,,,*.shortcm.li,US,Amazon,Amazon,2,8825846848676131015721077390999054522,b'sha256WithRSAEncryption',b'20211103000000Z',b'20201002000000Z',Google,https://mixa789056.shortcm.li,"http://crl.sca1b.amazontrust.com/sca1b.crl
"
20,,,*.000webhostapp.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,2228254079092510724983124338469064688,b'sha256WithRSAEncryption',b'20210710120000Z',b'20190611000000Z',Google,https://fugacious-flicker.000webhostapp.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
21,,,*.000webhostapp.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,2228254079092510724983124338469064688,b'sha256WithRSAEncryption',b'20210710120000Z',b'20190611000000Z',Facebook,https://13317x.000webhostapp.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
22,,,rakutenjp.shop,US,Let's Encrypt,Let's Encrypt Authority X3,2,343921500265035393400481414576103721767858,b'sha256WithRSAEncryption',b'20210218162745Z',b'20201120162745Z',Other,https://rakutenjp.shop/
23,,,wetheresurgence.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,283271828491312052516826681488344227761228,b'sha256WithRSAEncryption',b'20210128172805Z',b'20201030172805Z',Other,https://wetheresurgence.com/wp-content/plugins/ebay-feeds-for-wordpress/elmy/incorporeal_tenebriously.html
24,,,www.kangaroozinternational.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,148538135620166346313379918811988309066,b'sha256WithRSAEncryption',b'20211118235959Z',b'20201118000000Z',Other,https://www.kangaroozinternational.com/.well-known/pki-validation/Netflix/647a8664e3a3d945c87db2d07a6590c1
25,,,hfx-online-cancel.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,37777819966224682291214336130025205163,b'sha256WithRSAEncryption',b'20211120235959Z',b'20201120000000Z',Other,https://hfx-online-cancel.com/auth/Login.php
26,,,hfx-online-cancel.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,37777819966224682291214336130025205163,b'sha256WithRSAEncryption',b'20211120235959Z',b'20201120000000Z',Other,http://hfx-online-cancel.com/auth
27,,,soursingsegura23bn-tag.xyz,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,25897789878478295267452178880590948188,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://soursingsegura23bn-tag.xyz/BNlWeb/lnicio/logins.do
28,,,soursingsegura23bn-tag.xyz,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,25897789878478295267452178880590948188,b'sha256WithRSAEncryption',b'20211119235959Z',b'20201119000000Z',Other,https://soursingsegura23bn-tag.xyz/
29,,,webdisk.77005.info,US,Let's Encrypt,Let's Encrypt Authority X3,2,297525649039156929786025189036037941985039,b'sha256WithRSAEncryption',b'20210122170651Z',b'20201024170651Z',Other,https://mail.77005.info/wp-admin/includes/banner...
