2,,,jurlebedev.ru,US,Let's Encrypt,Let's Encrypt Authority X3,2,384401195725433461728219761991859722385141,b'sha256WithRSAEncryption',b'20201231020304Z',b'20201002020304Z',Other,https://jurlebedev.ru/wp-content/languages/BPD/Popularenlinea/Home.html
3,,,citacrsucursales.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,398958487772549625542225963653940622666347,b'sha256WithRSAEncryption',b'20210208152405Z',b'20201110152405Z',Other,https://citacrsucursales.com/
4,,,services.runescape.com-acceptgift.xyz,US,Let's Encrypt,Let's Encrypt Authority X3,2,288939375618447643205540194058048111842311,b'sha256WithRSAEncryption',b'20210209153740Z',b'20201111153740Z',Other,https://services.runescape.com-acceptgift.xyz/
5,,,blackwood.biz.ua,US,Let's Encrypt,Let's Encrypt Authority X3,2,307435156863807950990901960805022353319386,b'sha256WithRSAEncryption',b'20210105175800Z',b'20201007175800Z',Internal Revenue Service,https://blackwood.biz.ua/irswin.html#11
6,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',"http://crl.pki.goog/GTS1O1.crl
",Other,https://filelabs-auth.firebaseapp.com/
7,,,pridgenentreprises.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,205453977018035480014111072709287221554,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201109000000Z',Other,https://pridgenentreprises.com/premcbles111020/anonone365/office/365.html#xx@yy.com
8,,,cpcalendars.demandindia.in,US,Let's Encrypt,Let's Encrypt Authority X3,2,349093057879228229998503124372790083224540,b'sha256WithRSAEncryption',b'20210208193948Z',b'20201110193948Z',Other,https://www.demandandsupply.in/wp-admin/includes/includes
9,,,*.mediapart.fr,FR,Gandi,Gandi Standard SSL CA 2,2,277148204374138874500838801309455558850,b'sha256WithRSAEncryption',b'20210611235959Z',b'20190611000000Z',"http://crl.usertrust.com/GandiStandardSSLCA2.crl
",Other,https://bit.ly/3kmcdfJ
10,,,serviceappsidxf.tk,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,318914113037704551146670546539784654053,b'sha256WithRSAEncryption',b'20210128235959Z',b'20201030000000Z',"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
",Other,https://mysp.ac/4iivW?idtrack=tqh50SKk
11,,,serviceappsidxf.tk,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,318914113037704551146670546539784654053,b'sha256WithRSAEncryption',b'20210128235959Z',b'20201030000000Z',"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
",Other,https://mysp.ac/4iivW?idtrack=tqh50SKk?id=
12,,,myee-billingsverfiy.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,156831914763426760168351428551730457325,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,https://myee-billingsverfiy.com/
13,,,ee-updatebillinguk.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,186364277297299674781494680603468134855,b'sha256WithRSAEncryption',b'20211111235959Z',b'20201111000000Z',Other,https://ee-updatebillinguk.com/
14,,,abcllc.me,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,13810334719995274920720069649027424149,b'sha256WithRSAEncryption',b'20210209235959Z',b'20201111000000Z',"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
",Wells Fargo,https://abcllc.me/direct.php
15,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://pnkdmlsizslchfzs-dot-mnospot.ts.r.appspot.com/
16,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://pnkdmlsizslchfzs-dot-mnospot.ts.r.appspot.com/
17,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://dubylzrbwzsqgaos-dot-mnospot.ts.r.appspot.com/
18,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://eewgbobwwukhdvrnqpqyyaoccolulolyflft-dot-offglen.uk.r.appspot.com/
19,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://eewgbobwwukhdvrnqpqyyaoccolulolyflft-dot-offglen.uk.r.appspot.com/
20,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://bfihmdivnkfabbugojwpnwxnnbqiidzyozot-dot-offglen.uk.r.appspot.com/
21,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://dmuvkybkjuiyisjkwedebnpdztlwlantazfz-dot-offglen.uk.r.appspot.com/
22,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://dmuvkybkjuiyisjkwedebnpdztlwlantazfz-dot-offglen.uk.r.appspot.com/
23,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://zedgzakiqofgmkbgfggakrmdhijugrzkvcdr-dot-offglen.uk.r.appspot.com/
24,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://zedgzakiqofgmkbgfggakrmdhijugrzkvcdr-dot-offglen.uk.r.appspot.com/
25,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://mosommtksoatqdftzrbnxpmukpmnfgixsyxf-dot-offgl8876899977678.uk.r.appspot.com/
26,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://lcudmnvkqwluwfifodjdlxtzuvftywwqlycu-dot-offglen.uk.r.appspot.com/
27,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://lcudmnvkqwluwfifodjdlxtzuvftywwqlycu-dot-offglen.uk.r.appspot.com/
28,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,http://tvosxdfmkciqxvpwvbbnnrjifawkhznzifyx-dot-offgl8876899977678.uk.r.appspot.com/
29,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,203768346452841351333691763826532312408,b'sha256WithRSAEncryption',b'20210112180242Z',b'20201020180242Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://tvosxdfmkciqxvpwvbbnnrjifawkhznzifyx-dot-offgl8876899977678.uk.r.appspot.com/
30,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,102007888519749433983377694941369194089,b'sha256WithRSAEncryption',b'20210120161745Z',b'20201028161745Z',"http://crl.pki.goog/GTS1O1core.crl
",Other,https://rpsxyyocnetsnsroiudwvhjpshpmawsgoday-dot-offglen.uk.r.appspot.com/
31,,,vehicle-taxrefund.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,23932476942966074309197024436995676223,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,http://vehicle-taxrefund.com/
32,,,vehicle-taxrefund.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,23932476942966074309197024436995676223,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,https://vehicle-taxrefund.com/
33,,,littlefoots.ru,US,Let's Encrypt,Let's Encrypt Authority X3,2,269305335799505569454720306551434278268868,b'sha256WithRSAEncryption',b'20201204234545Z',b'20200905234545Z',Other,https://littlefoots.ru/a298c3e9e7f3bf2dc08ce078641499d2/
34,,,littlefoots.ru,US,Let's Encrypt,Let's Encrypt Authority X3,2,269305335799505569454720306551434278268868,b'sha256WithRSAEncryption',b'20201204234545Z',b'20200905234545Z',Other,http://littlefoots.ru/a298c3e9e7f3bf2dc08ce078641499d2
35,,,removedevice-h-plc.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,234169198226787617124181520679777934401,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,https://removedevice-h-plc.com/Login.php
