15,,,*.weebly.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,20033798623500631602717297113972656487,b'sha256WithRSAEncryption',b'20211202120000Z',b'20191004000000Z',Other,https://yahooohotline.weebly.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
16,,,ankama-new.live,AT,ZeroSSL,ZeroSSL RSA Domain Secure Site CA,2,2199075389938437424418184597648799344,b'sha384WithRSAEncryption',b'20210226235959Z',b'20201128000000Z',Google,https://www.ankama-new.live/fr/mmorpg/actualites/Clef-Rutilax/
17,,,vodafone-support-secure.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,185044542050309626562706326123285464134,b'sha256WithRSAEncryption',b'20211129235959Z',b'20201129000000Z',Vodafone,https://vodafone-support-secure.com/
18,,,cx.money,US,Let's Encrypt,Let's Encrypt Authority X3,2,285289150633549784474688250381908051099275,b'sha256WithRSAEncryption',b'20201211092453Z',b'20200912092453Z',Steam,https://cx.money/s/9cZjq18YwVH7FZt?src=aboutblankauth
19,US,"Amazon.com, Inc.",www.amazon.co.jp,US,DigiCert Inc,DigiCert Global CA G2,2,5769881613033434095976240390395081042,b'sha256WithRSAEncryption',b'20211027235959Z',b'20201105000000Z',Amazon.com,http://182.16.110.210/ap/signin?openid.pape.max_auth_age=0&amp;amp;openid.return_to=https%3A%2F%2Fwww.amazon.co.jp%2F%3Fref_%3Dnav_em_hd_re_signin&amp;amp;openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&amp;amp;openid.assoc_handle=jpflex&amp;amp;openid.mode=checkid_setup&amp;amp;key=a@b.c&amp;amp;openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&amp;amp;openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&amp;amp;&amp;amp;ref_=nav_em_hd_clc_signin,"http://crl4.digicert.com/DigiCertGlobalCAG2.crl
"
20,,,mypayees-support.co.uk,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,306606791790853437142296166044422033225,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,https://www.mypayees-support.co.uk/Login.php
21,,,online-authorisation.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,213819029030493594341381264796076923578,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,https://www.online-authorisation.com/Login.php
22,,,reregistering-devices.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,186744355675585502680025316502122505647,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,https://reregistering-devices.com/santander/Login.php
23,,,reregistering-devices.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,186744355675585502680025316502122505647,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,http://reregistering-devices.com/santander
24,,,reregistering-devices.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,186744355675585502680025316502122505647,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,https://www.reregistering-devices.com/santander/Login.php
25,,,reregistering-devices.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,186744355675585502680025316502122505647,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,http://www.reregistering-devices.com/santander/Login.php
26,,,paypal.user-terms274.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,82591241869530195407251038397579700428,b'sha256WithRSAEncryption',b'20211126235959Z',b'20201127000000Z',Other,https://paypal.user-terms274.com/egg.php?secret_key=qdrngap5v1yu9hc36k4lbfzemo207i
27,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://mqxlltszzlzgeewqqmodyfkzwjtkcwuxrtbs-dot-off94032393204.uk.r.appspot.com/?utm_campaign=website&amp;utm_source=sendgrid.com&amp;utm_medium=email,"http://crl.pki.goog/GTS1O1core.crl
"
28,,,www.removepayee-authenticatehelp.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,323556096387037300300410383278926235738,b'sha256WithRSAEncryption',b'20211129235959Z',b'20201129000000Z',Other,https://removepayee-authenticatehelp.com/Login.php
29,,,www.removepayee-authenticatehelp.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,323556096387037300300410383278926235738,b'sha256WithRSAEncryption',b'20211129235959Z',b'20201129000000Z',Other,https://removepayee-authenticatehelp.com/
30,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://ecxsgiwbsuekewreaufjbcsfpcbiklscgwcc-dot-off94032393204.uk.r.appspot.com/,"http://crl.pki.goog/GTS1O1core.crl
"
31,,,nobairrovende.com.br,US,Let's Encrypt,Let's Encrypt Authority X3,2,304083462452623882358952908093844641738087,b'sha256WithRSAEncryption',b'20210218021348Z',b'20201120021348Z',Other,https://www.nobairrovende.com.br/acces-inges-20200104-t452/354c8/sms.html
32,,,nobairrovende.com.br,US,Let's Encrypt,Let's Encrypt Authority X3,2,304083462452623882358952908093844641738087,b'sha256WithRSAEncryption',b'20210218021348Z',b'20201120021348Z',Other,https://www.nobairrovende.com.br/acces-inges-20200104-t452/354c8/pass.html
33,,,netflix.com-portal.info,US,Let's Encrypt,Let's Encrypt Authority X3,2,389031014831044260698283223843999796157621,b'sha256WithRSAEncryption',b'20210227010435Z',b'20201129010435Z',Other,https://netflix.com-portal.info/
34,,,whm.appleinfo.co,US,Let's Encrypt,Let's Encrypt Authority X3,2,349699908818084955896120591828897471698281,b'sha256WithRSAEncryption',b'20210115175659Z',b'20201017175659Z',Other,https://appleinfo.co/o39b16
35,,,cpcalendars.applelocate.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,378559550910761905376585142247492763731254,b'sha256WithRSAEncryption',b'20210101155137Z',b'20201003155137Z',Other,https://applelocate.com/o39b16
36,,,mail.fml-sign.in,US,Let's Encrypt,Let's Encrypt Authority X3,2,270750437369514952452235793737773021655155,b'sha256WithRSAEncryption',b'20210210152103Z',b'20201112152103Z',Other,https://icloud.fml-sign.in/?auth=11blk
37,,,login-newpayee1-security.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,296578380285897319783316935991047526964,b'sha256WithRSAEncryption',b'20211120235959Z',b'20201120000000Z',Other,https://login-newpayee1-security.com/lloyds/
38,,,verifyhali-payee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,250031335795717384145867256695200561664,b'sha256WithRSAEncryption',b'20211125235959Z',b'20201125000000Z',Other,https://verifyhali-payee.com/Login.php
39,,,verifyhali-payee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,250031335795717384145867256695200561664,b'sha256WithRSAEncryption',b'20211125235959Z',b'20201125000000Z',Other,http://verifyhali-payee.com/
40,,,haiifax.verification-0dsxff.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,22175389562070487843884016066489811692,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,https://www.haiifax.verification-0dsxff.com/Login.php
41,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,20856666800826892198992707437152694298,b'ecdsa-with-SHA256',b'20210729120000Z',b'20200729000000Z',Other,https://www.911myweb.com/admin99/Xwanted/id.php,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
42,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,20856666800826892198992707437152694298,b'ecdsa-with-SHA256',b'20210729120000Z',b'20200729000000Z',Other,https://www.911myweb.com/admin99/Xwanted/bank.php,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
43,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,20856666800826892198992707437152694298,b'ecdsa-with-SHA256',b'20210729120000Z',b'20200729000000Z',Other,https://www.911myweb.com/admin99/Xwanted/payment.php,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
44,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,20856666800826892198992707437152694298,b'ecdsa-with-SHA256',b'20210729120000Z',b'20200729000000Z',Other,https://www.911myweb.com/admin99/Xwanted/billing.php,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
45,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,20856666800826892198992707437152694298,b'ecdsa-with-SHA256',b'20210729120000Z',b'20200729000000Z',Other,https://www.911myweb.com/admin99/Xwanted/safe.php,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
46,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,20856666800826892198992707437152694298,b'ecdsa-with-SHA256',b'20210729120000Z',b'20200729000000Z',Other,https://www.911myweb.com/admin99/Xwanted/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
47,,,netlixlog.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,24035596458433979789807729418750883791,b'sha256WithRSAEncryption',b'20211129235959Z',b'20201129000000Z',Other,https://www.netlixlog.com/
48,,,login-newpayee1-security.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,296578380285897319783316935991047526964,b'sha256WithRSAEncryption',b'20211120235959Z',b'20201120000000Z',Other,https://login-newpayee1-security.com/lloyds/Login.php
49,,,authenticate-new-payee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,149058687360412041939258134255999090117,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,http://www.authenticate-new-payee.com/
50,,,authenticate-new-payee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,149058687360412041939258134255999090117,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,https://www.authenticate-new-payee.com/Login.php
51,,,facebook.item53215.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,302707220589559031639487846581868142511,b'sha256WithRSAEncryption',b'20211128235959Z',b'20201128000000Z',Other,https://facebook.item53215.com/
52,,,1dossier.be,US,Let's Encrypt,Let's Encrypt Authority X3,2,392473565302261688615685138244938082615018,b'sha256WithRSAEncryption',b'20210212065131Z',b'20201114065131Z',Other,https://1dossier.be/wp-content/V5/net/Home/login
53,,,amazon.asphgh.icu,CN,"TrustAsia Technologies, Inc.",TrustAsia TLS RSA CA,2,19452269801325258909754347995836780803,b'sha256WithRSAEncryption',b'20211127235959Z',b'20201128000000Z',Other,http://amazon.asphgh.icu/
54,,,ayatas.com,US,"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,2,5573411633323504246,b'sha256WithRSAEncryption',b'20210624124544Z',b'20200708130106Z',Other,http://ebuddynews.com/wp-admin/home/......,"http://crl.godaddy.com/gdig2s1-2094.crl
"
55,,,*.cabledigitaltvlatam.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,426311924441749129262458764235826014077516,b'sha256WithRSAEncryption',b'20210114034544Z',b'20201016034544Z',Other,https://cabledigitaltvlatam.com/nzbank/westpac/one/login/login.php.......
56,,,iemsur.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,412865882753503801564486026102549668633677,b'sha256WithRSAEncryption',b'20210103012045Z',b'20201005012045Z',Other,https://iemsur.com/westpac/login/login.php.........
