12,,,office-secure.tcatcargo.com,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,198402094336294744586931172405103210832,b'sha256WithRSAEncryption',b'20210221235959Z',b'20201123000000Z',Other,https://office-secure.tcatcargo.com/?email=@yorku.ca,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
13,,,servicios-cliente-es-banco.tierraflorist.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,402119150704096390370682735948167716129421,b'sha256WithRSAEncryption',b'20210219113154Z',b'20201121113154Z',ING Direct,https://servicios-cliente-es-banco.tierraflorist.com/shopping.html
14,,,servicios-cliente-es-banco.tierraflorist.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,402119150704096390370682735948167716129421,b'sha256WithRSAEncryption',b'20210219113154Z',b'20201121113154Z',ING Direct,http://cliente-bankia-acceso.es.sunpremium.business
15,,,*.webador.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,188518757446218715777716850020544207668,b'sha256WithRSAEncryption',b'20210908235959Z',b'20200907000000Z',Other,https://continuer-ldentifiez-vous.webador.com/
16,,,webnode.be,US,Let's Encrypt,Let's Encrypt Authority X3,2,389604506302143601449211708252995180004860,b'sha256WithRSAEncryption',b'20210108042341Z',b'20201010042341Z',Other,https://e-mail-orange.webnode.be/
17,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,13132768857398039280144013237584115707,b'ecdsa-with-SHA256',b'20211104235959Z',b'20201105000000Z',Other,https://oronge.digital/personal/e/authID=OLDZP/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
18,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,5249591241023825410064936284019961194,b'ecdsa-with-SHA256',b'20211105235959Z',b'20201106000000Z',Other,https://mobile-portail.live/personal/e/authID=0RST0/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
19,,,mirandaeastafricagroup.com,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,337568632166917936296577980621792873873,b'sha256WithRSAEncryption',b'20210114235959Z',b'20201016000000Z',Internal Revenue Service,https://mirandaeastafricagroup.com/jss/aiares/GetMyPayment.html?IRSStimulusOnline&bn=3a87f6b7c2088874&burlid=d001a6ea0b9cbe16,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
20,,,*.weebly.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,20033798623500631602717297113972656487,b'sha256WithRSAEncryption',b'20211202120000Z',b'20191004000000Z',Other,https://atttooonnn.weebly.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
21,,,unauthroized-device.cc,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,135125852577114335821534552991164780135,b'sha256WithRSAEncryption',b'20211122235959Z',b'20201122000000Z',Halifax,https://unauthroized-device.cc/
22,,,unauthroized-device.cc,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,135125852577114335821534552991164780135,b'sha256WithRSAEncryption',b'20211122235959Z',b'20201122000000Z',Halifax,https://unauthroized-device.cc/Login.php
23,,,unauthorized-deivce.cc,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,57245961405989406695817071240483069775,b'sha256WithRSAEncryption',b'20211122235959Z',b'20201122000000Z',Halifax,https://unauthorized-deivce.cc/
24,,,unauthorized-deivce.cc,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,57245961405989406695817071240483069775,b'sha256WithRSAEncryption',b'20211122235959Z',b'20201122000000Z',Halifax,https://unauthorized-deivce.cc/Login.php
25,,,submit-vehicle-form.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,307393862419757927712034681357373562090,b'sha256WithRSAEncryption',b'20211122235959Z',b'20201122000000Z',Her Majesty's Revenue and Customs,https://submit-vehicle-form.com/
26,,,removepayee-auth.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,148659088844628226785885589118549243076,b'sha256WithRSAEncryption',b'20211121235959Z',b'20201121000000Z',Halifax,https://removepayee-auth.com/Login.php
27,,,removepayee-auth.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,148659088844628226785885589118549243076,b'sha256WithRSAEncryption',b'20211121235959Z',b'20201121000000Z',Halifax,https://removepayee-auth.com/
28,,,register-device.co.uk,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,209196883476173137945243765343099634143,b'sha256WithRSAEncryption',b'20211122235959Z',b'20201122000000Z',Halifax,https://register-device.co.uk/Halifax/Login.php
29,,,register-device.co.uk,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,209196883476173137945243765343099634143,b'sha256WithRSAEncryption',b'20211122235959Z',b'20201122000000Z',Halifax,https://register-device.co.uk/Halifax/
30,,,usgiveawaybox.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,321425360499653970819782579837647022046483,b'sha256WithRSAEncryption',b'20210114124335Z',b'20201016124335Z',Other,https://usgiveawaybox.com/spiderr/spider
31,,,usgiveawaybox.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,321425360499653970819782579837647022046483,b'sha256WithRSAEncryption',b'20210114124335Z',b'20201016124335Z',Other,https://usgiveawaybox.com/spiderr/spider/
32,,,seguromilhassempre.club,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,244786347611998873997336410806838721872,b'sha256WithRSAEncryption',b'20211116235959Z',b'20201116000000Z',Other,https://seguromilhassempre.club/promocao/descontao/card/home.php
33,,,log-in-mypayees.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,45143566018994988395888450864895722192,b'sha256WithRSAEncryption',b'20211122235959Z',b'20201122000000Z',Halifax,https://log-in-mypayees.com/Login.php
34,,,log-in-mypayees.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,45143566018994988395888450864895722192,b'sha256WithRSAEncryption',b'20211122235959Z',b'20201122000000Z',Halifax,https://log-in-mypayees.com/
35,,,westsactrucklube.com,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,143960396478554417129310888033435873531,b'sha256WithRSAEncryption',b'20210221235959Z',b'20201123000000Z',Microsoft,https://westsactrucklube.com/cda-file/Doc.htm,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
36,,,deviceprotection-payee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,112582929231660268519747131135397564543,b'sha256WithRSAEncryption',b'20211120235959Z',b'20201120000000Z',"Banco Santander, S.A.",https://deviceprotection-payee.com/logon.php?&sessionid=f01f18eaec89816094bc3868f662d236&securessl=true
37,,,deviceprotection-payee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,112582929231660268519747131135397564543,b'sha256WithRSAEncryption',b'20211120235959Z',b'20201120000000Z',"Banco Santander, S.A.",https://deviceprotection-payee.com/
38,,,www.mobile.de-item237778520.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,281635781492983665918234102817063887606136,b'sha256WithRSAEncryption',b'20210214135823Z',b'20201116135823Z',"eBay, Inc.",https://mobile.de-item237778520.com/fahrzeuge/
