19,,,665990.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,369593492639285221724006089377842681192124,b'sha256WithRSAEncryption',b'20210211215038Z',b'20201113215038Z',"eBay, Inc.",http://694531.com/phplive/phplive.php?d=0&onpage=livechatimagelink&title=Live+Chat+Direct+Link
20,,,webnode.be,US,Let's Encrypt,Let's Encrypt Authority X3,2,389604506302143601449211708252995180004860,b'sha256WithRSAEncryption',b'20210108042341Z',b'20201010042341Z',Other,https://loginsvocals8.webnode.be/
21,,,arinbotosanu.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,394326137469970789669270966500489772128977,b'sha256WithRSAEncryption',b'20210206134652Z',b'20201108134652Z',Other,https://arinbotosanu.com/wp-admin/tiko/Tikna/
22,US,Google LLC,*.google.ro,US,Google Trust Services,GTS CA 1O1,2,20560021545372309913669847923564927291,b'sha256WithRSAEncryption',b'20210126074333Z',b'20201103074333Z',Other,https://owa.adobefiles.gq/owa.php?sslchannel=true&form=AccountVerification&sessionid,"http://crl.pki.goog/GTS1O1core.crl
"
23,,,*.weebly.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,20033798623500631602717297113972656487,b'sha256WithRSAEncryption',b'20211202120000Z',b'20191004000000Z',Other,https://attyahooooo.weebly.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
24,US,Google LLC,web.app,US,Google Trust Services,GTS CA 1O1,2,2839227606052631490449856778236829062,b'sha256WithRSAEncryption',b'20210414223023Z',b'20200415223023Z',Other,https://u9338062.ct.sendgrid.net/ls/click?upn=fgXO2urjFINowZEPrSUfo-2BiigyHEiIBvuivYy0-2BcI4IV-2B8A2dzOrl8zYLgV9POZHozwuw2GQoODHUkVChauzbw-3D-3Dp_6D_jQ4RXnvDJ1YIT8H4p98-2BvybmLuddoNBadx7xYGpOO7-2FLgJlJVjL-2FhVf2FCON0ZT-2BhkoTu2hYYvhAYYS7-2BjRTNCVMVFBZKfxE6O8asgkBidC4L9Zji8OWT4zNpYgO-2B5EaNb0tu6hBOtxnJl2HuAh-2BL8a4URnO0ROK2h1ZAzckmSNTSNnlLbzIeQnzs14DgGaj-2FSMIykOP-2BnFI3ozhy0ZQQMNDd6PUnwtp1m9kSnHWlcw-3D,"http://crl.pki.goog/GTS1O1.crl
"
25,US,Google LLC,web.app,US,Google Trust Services,GTS CA 1O1,2,2839227606052631490449856778236829062,b'sha256WithRSAEncryption',b'20210414223023Z',b'20200415223023Z',Other,https://rjabldfrbg.web.app/,"http://crl.pki.goog/GTS1O1.crl
"
26,US,Google LLC,web.app,US,Google Trust Services,GTS CA 1O1,2,2839227606052631490449856778236829062,b'sha256WithRSAEncryption',b'20210414223023Z',b'20200415223023Z',Other,https://u8405427.ct.sendgrid.net/ls/click?upn=jvmTwGKjXXE56PtipY4BcB4n0VDNpCNtgBRnYCehn3EcWb0kD2HEs-2BthLFGytXxwgMeVvK77p30pX4dai9y-2Fj7rjaLXaOsWQUMXedONBZHY-3DzTB3_SpY-2Bhp5guE-2BSqZgm7vYKB-2BkheAzqUMfRTf0bxNnZ-2BfDC7opqMyrM4DVsxAcrBrAmxCi1enBmAkhVh4WgpL9s5q00VkGmHCvDrxEIHuUDn-2BMMTQvtj0iEocGVBscF8wMA81GEK71rbyPYO-2FwPLHJfX0fTewffiedEWn3rXxJ-2Bm1mcKlDFOlv-2BhDqK4RQk01sgPkzoV1oi18wdGGgIzEkaohypTQmIUd-2BKwc280j86FvM-3D,"http://crl.pki.goog/GTS1O1.crl
"
27,,,*.weebly.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,20033798623500631602717297113972656487,b'sha256WithRSAEncryption',b'20211202120000Z',b'20191004000000Z',Other,https://397144907553830787.weebly.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
28,,,seminarevening.com,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,133547200735497399806316618476470341376,b'sha256WithRSAEncryption',b'20210303235959Z',b'20201203000000Z',Microsoft,https://seminarevening.com/St344.firebaseapp/,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
29,,,zacosa.gr,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,278611205942626564014197823818898083534,b'sha256WithRSAEncryption',b'20210205235959Z',b'20201107000000Z',Other,https://leopoulos.gr/cb/OwaRe2020/Ovd20/?urs.gassmann@global-hotels.com,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
30,,,*.jumpseller.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,242295197800340936237290228799393069350,b'sha256WithRSAEncryption',b'20220103235959Z',b'20201203000000Z',Virustotal,https://nicohill-fruits.jumpseller.com
31,,,*.weebly.com,US,DigiCert Inc,RapidSSL RSA CA 2018,2,20033798623500631602717297113972656487,b'sha256WithRSAEncryption',b'20211202120000Z',b'20191004000000Z',Other,https://webyahooatt.weebly.com/,"http://cdp.rapidssl.com/RapidSSLRSACA2018.crl
"
32,,,*.webador.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,188518757446218715777716850020544207668,b'sha256WithRSAEncryption',b'20210908235959Z',b'20200907000000Z',Other,https://webhormaiplajdbd.webador.com/
33,,,www.cr.mufg.jp.sjfcn.com,US,Let's Encrypt,R3,2,310447532346096891035442770491249138284459,b'sha256WithRSAEncryption',b'20210306172949Z',b'20201206172949Z',Other,https://cr.mufg.jp.sjfcn.com/
34,,,hemdan.co,US,Let's Encrypt,R3,2,298692130546683222250484501590108929696377,b'sha256WithRSAEncryption',b'20210304095707Z',b'20201204095707Z',Microsoft,https://hemdan.co/vr54redcsd/?Helmeitas23=56hbgfd3xs
35,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,14004147172875394057603541902985409361,b'ecdsa-with-SHA256',b'20210708120000Z',b'20200708000000Z',"eBay, Inc.",https://santolukas.sch.id/Verkaufer09a86995274857bbaf0f93c2f2386c4289f95c1219b3d32eedEinvoicerouteacctpagetype&5d152004e63ec7c944a48cb765f9333384ae73897f68d6a1af&info@redfrogltd.co.uk.html,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
36,,,bicycles.sporting-goods-65l2368l59o71.llc65l2368l59o.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,222122740760464101658330684442971482737,b'sha256WithRSAEncryption',b'20211205235959Z',b'20201205000000Z',"eBay, Inc.",https://bicycles.sporting-goods-65l2368l59o71.llc65l2368l59o.com/2017%20Trek%20Fuel%20EX%208%2027.5%20Plus%20(Large)%20wSRAM%20GX%201x11%20and%20Dropper/
37,,,*.arrcounselling.co.uk,US,DigiCert Inc,Encryption Everywhere DV TLS CA - G1,2,19649824446843341845336938975983961315,b'sha256WithRSAEncryption',b'20210529120000Z',b'20200529000000Z',Allegro,https://www.arrcounselling.co.uk/klient?em=allegro@robiko-lublin.pl
38,,,groupproyect.com.co,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,47429463918853338739195108639035427980,b'sha256WithRSAEncryption',b'20210221235959Z',b'20201123000000Z',Other,https://groupproyect.com.co/wp-admin/relate/CH4S3EMPIR3/home/index.php
39,,,bcpzoneseguralbcp.viialbcper.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,142043532365000352627250659375518835340,b'sha256WithRSAEncryption',b'20211204235959Z',b'20201204000000Z',Other,https://bcpzoneseguralbcp.viialbcper.com
40,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,15741205062440061114948968399185753254,b'ecdsa-with-SHA256',b'20211205235959Z',b'20201206000000Z',Other,https://lloyds-banking-alerts.com/Login.php,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
41,,,floridahouseboatrentals.com,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,128916668674415353649837609948659909620,b'sha256WithRSAEncryption',b'20210303235959Z',b'20201203000000Z',Other,https://floridahouseboatrentals.com/login/login.php?cmd=login_submit&amp;id=892cc0faa1c7dc4fbdece056e54e0b04892cc0faa1c7dc4fbdece056e54e0b04&amp;session=892cc0faa1c7dc4fbdece056e54e0b04892cc0faa1c7dc4fbdece056e54e0b04,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
